Year,Category,Film,FilmId,Nominees,Winner
1964,Foreign Actress,Joan Crawford,,Whatever Happened To Baby Jane?,FALSE
1964,Foreign Actress,Bette Davis,,Whatever Happened To Baby Jane?,FALSE
1964,Foreign Actress,Lee Remick,,Days Of Wine And Roses,FALSE
1964,Foreign Actress,Daniela Rocca,,"Divorce, Italian Style (Divorzio All'Italiana)",FALSE
1964,Most Promising Newcomer To Leading Film Roles,James Fox,,The Servant,TRUE
1964,Most Promising Newcomer To Leading Film Roles,Wendy Craig,,The Servant,FALSE
1964,Most Promising Newcomer To Leading Film Roles,Keir Dullea,,David And Lisa,FALSE
1964,Most Promising Newcomer To Leading Film Roles,Janet Margolin,,David And Lisa,FALSE
1964,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Category not awarded this year,,,TRUE
1964,Short Film,Happy Anniversary,,,TRUE
1964,Short Film,Sailing,,,FALSE
1964,Short Film,Snow,,,FALSE
1964,Short Film,The War Game,,,FALSE
1964,Specialised Film,Category not awarded this year,,,TRUE
1964,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Inheritance,,,TRUE
1964,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,War Hunt,,,FALSE
1965,Animated Film,The Insects,,,TRUE
1965,British Actor,Richard Attenborough,,Guns At Batasi/Séance On A Wet Afternoon,TRUE
1965,British Actor,Tom Courtenay,,King And Country,FALSE
1965,British Actor,Peter O'Toole,,Becket,FALSE
1965,British Actor,Peter Sellers,,Dr Strangelove/The Pink Panther,FALSE
1965,British Actress,Audrey Hepburn,,Charade,TRUE
1965,British Actress,Edith Evans,,The Chalk Garden,FALSE
1965,British Actress,Deborah Kerr,,The Chalk Garden,FALSE
1965,British Actress,Rita Tushingham,,Girl With Green Eyes,FALSE
1965,British Art Direction - Black and White,Dr Strangelove,,Ken Adam,TRUE
1965,British Art Direction - Black and White,Guns At Batasi,,Maurice Carter,FALSE
1965,British Art Direction - Black and White,King And Country,,Richard Macdonald,FALSE
1965,British Art Direction - Black and White,The Pumpkin Eater,,Edward Marshall,FALSE
1965,British Art Direction - Colour,Becket,,John Bryan,TRUE
1965,British Art Direction - Colour,The Chalk Garden,,Carmen Dillon,FALSE
1965,British Art Direction - Colour,Goldfinger,,Ken Adam,FALSE
1965,British Art Direction - Colour,Zulu,,Ernest Archer,FALSE
1965,British Cinematography - Black and White,The Pumpkin Eater,,Oswald Morris,TRUE
1965,British Cinematography - Black and White,Guns At Batasi,,Douglas Slocombe,FALSE
1965,British Cinematography - Black and White,King And Country,,Denys Coop,FALSE
1965,British Cinematography - Black and White,Séance On A Wet Afternoon,,Gerry Turpin,FALSE
1965,British Cinematography - Colour,Becket,,Geoffrey Unsworth,TRUE
1965,British Cinematography - Colour,The Chalk Garden,,Arthur Ibbetson,FALSE
1965,British Cinematography - Colour,Nothing But The Best,,Nicolas Roeg,FALSE
1965,British Cinematography - Colour,Seventh Dawn,,Frederick A Young,FALSE
1965,British Cinematography - Colour,The Yellow Rolls Royce,,Jack Hildyard,FALSE
1965,British Costume Design - Black and White,The Pumpkin Eater,,Motley,TRUE
1965,British Costume Design - Black and White,Of Human Bondage,,Beatrice Dawson,FALSE
1965,British Costume Design - Black and White,Psyche 59,,Julie Harris,FALSE
1965,British Costume Design - Colour,Becket,,Margaret Furse,TRUE
1965,British Costume Design - Colour,The Long Ships,,Anthony Mendleson,FALSE
1965,British Costume Design - Colour,Woman Of Straw,,Beatrice Dawson,FALSE
1965,British Costume Design - Colour,The Yellow Rolls Royce,,Anthony Mendleson,FALSE
1965,British Film,Dr Strangelove,,,TRUE
1965,British Film,Becket,,,FALSE
1965,British Film,King And Country,,,FALSE
1965,British Film,The Pumpkin Eater,,,FALSE
1965,British Screenplay,The Pumpkin Eater,,Harold Pinter,TRUE
1965,British Screenplay,Becket,,Edward Anhalt,FALSE
1965,British Screenplay,Dr Strangelove,,"Stanley Kubrick, Peter George, Terry Southern",FALSE
1965,British Screenplay,Séance On A Wet Afternoon,,Bryan Forbes,FALSE
1965,Film,Dr Strangelove,,,TRUE
1965,Film,Becket,,,FALSE
1965,Film,The Pumpkin Eater,,,FALSE
1965,Film,The Train,,,FALSE
1965,Foreign Actor,Marcello Mastroianni,,"Yesterday, Today And Tomorrow (Ieri, Oggi, Domani)",TRUE
1965,Foreign Actor,Cary Grant,,Charade,FALSE
1965,Foreign Actor,Sterling Hayden,,Dr Strangelove,FALSE
1965,Foreign Actor,Sidney Poitier,,Lilies Of The Field,FALSE
1965,Foreign Actress,Anne Bancroft,,The Pumpkin Eater,TRUE
1965,Foreign Actress,Ava Gardner,,The Night Of The Iguana,FALSE
1965,Foreign Actress,Shirley MacLaine,,Irma La Douce/What A Way To Go,FALSE
1965,Foreign Actress,Kim Stanley,,Séance On A Wet Afternoon,FALSE
1965,Most Promising Newcomer To Leading Film Roles,Julie Andrews,,Mary Poppins,TRUE
1965,Most Promising Newcomer To Leading Film Roles,Elizabeth Ashley,,The Carpetbaggers,FALSE
1965,Most Promising Newcomer To Leading Film Roles,The Beatles,,A Hard Day's Night,FALSE
1965,Most Promising Newcomer To Leading Film Roles,Lynn Redgrave,,Girl With Green Eyes,FALSE
1965,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Nobody Waved Goodbye,,,TRUE
1965,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",The Human Dutch,,,FALSE
1965,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",The Life Of Billy Walker,,,FALSE
1965,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Portrait Of Queenie,,,FALSE
1965,Short Film,Kenojuak,,,TRUE
1965,Short Film,Mekong,,,FALSE
1965,Short Film,Muloorina,,,FALSE
1965,Short Film,23 Skidoo,,,FALSE
1965,Specialised Film,Driving Technique - Passenger Trains,,,TRUE
1965,Specialised Film,And Gladly Would He Learn,,,FALSE
1965,Specialised Film,The Circarc Gear,,,FALSE
1965,Specialised Film,Germany - A Regional Geography,,,FALSE
1965,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Dr Strangelove,,,TRUE
1965,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,A Distant Trumpet,,,FALSE
1965,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Lilies Of The Field,,,FALSE
1965,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,23 Skidoo,,,FALSE
1966,Animated Film,Be Careful Boys,,"Vera Linnecar, Nancy Hanna, Keith Learner",TRUE
1966,Animated Film,The Bargain,,Beryl Stevens,FALSE
1966,Animated Film,"Birds, Bees And Storks",,John Halas,FALSE
1966,Animated Film,The Hoffnung Symphony Orchestra,,Harold Whitaker,FALSE
1966,British Actor,Dirk Bogarde,,Darling,TRUE
1966,British Actor,Harry Andrews,,The Hill,FALSE
1966,British Actor,Michael Caine,,The Ipcress File,FALSE
1966,British Actor,Rex Harrison,,My Fair Lady,FALSE
1966,British Actress,Julie Christie,,Darling,TRUE
1966,British Actress,Julie Andrews,,The Americanisation Of Emily/The Sound Of Music,FALSE
1966,British Actress,Maggie Smith,,Young Cassidy,FALSE
1966,British Actress,Rita Tushingham,,The Knack,FALSE
1966,British Art Direction - Black and White,Darling,,Ray Simm,TRUE
1966,British Art Direction - Black and White,The Bedford Incident,,Arthur Lawson,FALSE
1966,British Art Direction - Black and White,The Hill,,Herbert Smith,FALSE
1966,British Art Direction - Black and White,Rotten To The Core,,Alex Vetchinsky,FALSE
1966,British Art Direction - Colour,The Ipcress File,,Ken Adam,TRUE
1966,British Art Direction - Colour,Lord Jim,,Geoffrey Drake,FALSE
1966,British Art Direction - Colour,Those Magnificent Men In Their Flying Machines,,Tom Morahan,FALSE
1966,British Art Direction - Colour,Thunderball,,Ken Adam,FALSE
1966,British Cinematography - Black and White,The Hill,,Oswald Morris,TRUE
1966,British Cinematography - Black and White,Darling,,Ken Higgins,FALSE
1966,British Cinematography - Black and White,The Knack,,David Watkin,FALSE
1966,British Cinematography - Black and White,Repulsion,,Gilbert Taylor,FALSE
1966,British Cinematography - Colour,The Ipcress File,,Otto Heller,TRUE
1966,British Cinematography - Colour,Help!,,David Watkin,FALSE
1966,British Cinematography - Colour,Lord Jim,,FA Young,FALSE
1966,British Cinematography - Colour,Those Magnificent Men In Their Flying Machines,,Christopher Challis,FALSE
1966,British Costume Design - Black and White,Category not awarded this year,,,TRUE
1966,British Costume Design - Colour,Those Magnificent Men In Their Flying Machines,,"Osbert Lancaster, Dinah Greet",TRUE
1966,British Costume Design - Colour,The Amorous Adventures Of Moll Flanders,,"Elizabeth Haffenden, Joan Bridge",FALSE
1966,British Costume Design - Colour,Help!,,Julie Harris,FALSE
1966,British Costume Design - Colour,A Shot In The Dark,,Margaret Furse,FALSE
1966,British Costume Design - Colour,Young Cassidy,,Margaret Furse,FALSE
1966,British Film,The Ipcress File,,Sidney J Furie,TRUE
1966,British Film,Darling,,John Schlesinger,FALSE
1966,British Film,The Hill,,Sidney Lumet,FALSE
1966,British Film,The Knack,,Richard Lester,FALSE
1966,British Screenplay,Darling,,Frederic Raphael,TRUE
1966,British Screenplay,The Hill,,Ray Rigby,FALSE
1966,British Screenplay,The Ipcress File,,"Bill Canaway, James Doran",FALSE
1966,British Screenplay,The Knack,,Charles Wood,FALSE
1966,Film,My Fair Lady,,George Cukor,TRUE
1966,Film,Hamlet (Gamlet),,Grigori Kozintsev,FALSE
1966,Film,The Hill,,Sidney Lumet,FALSE
1966,Film,The Knack,,Richard Lester,FALSE
1966,Film,Zorba The Greek,,Michael Cacoyannis,FALSE
1966,Foreign Actor,Lee Marvin,,The Killers/Cat Ballou,TRUE
1966,Foreign Actor,Jack Lemmon,,Good Neighbour Sam/How To Murder Your Wife,FALSE
1966,Foreign Actor,Anthony Quinn,,Zorba The Greek,FALSE
1966,Foreign Actor,Innokenti Smoktunovsky,,Hamlet,FALSE
1966,Foreign Actor,Oskar Werner,,Ship Of Fools,FALSE
1966,Foreign Actress,Patricia Neal,,In Harm's Way,TRUE
1966,Foreign Actress,Jane Fonda,,Cat Ballou,FALSE
1966,Foreign Actress,Lila Kedrova,,Zorba The Greek,FALSE
1966,Foreign Actress,Simone Signoret,,Ship Of Fools,FALSE
1966,Most Promising Newcomer To Leading Film Roles,Judi Dench,,Four In The Morning,TRUE
1966,Most Promising Newcomer To Leading Film Roles,Michael Crawford,,The Knack,FALSE
1966,Most Promising Newcomer To Leading Film Roles,Barbara Ferris,,Catch Us If You Can,FALSE
1966,Most Promising Newcomer To Leading Film Roles,Tom Nardini,,Cat Ballou,FALSE
1966,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Tokyo Olympiad,,Kon Ichikawa,TRUE
1966,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Brute Force And Finesse,,Max Morgan-Witts,FALSE
1966,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Deckie Learner,,Michael Grigsby,FALSE
1966,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Stravinsky,,"Roman Kroiter, Wolf Koenig",FALSE
1966,Short Film,Rig Move,,Don Higgins,TRUE
1966,Short Film,One Of Them Is Brett,,Roger Graef,FALSE
1966,Short Film,60 Cycles,,Jean-Claude Labrecque,FALSE
1966,Specialised Film,I Do - And I Understand,,Derek Williams,TRUE
1966,Specialised Film,"Town Nurse, Country Nurse",,Don Higgins,FALSE
1966,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Tokyo Olympiad,,Kon Ichikawa,TRUE
1966,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Fail Safe,,Sidney Lumet,FALSE
1966,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,King Rat,,Bryan Forbes,FALSE
1966,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Zorba The Greek,,Michael Cacoyannis,FALSE
1967,Animated Film,Category not awarded this year,,,TRUE
1967,Best Cinematography - Black and White,The Spy Who Came In From The Cold,,Oswald Morris,TRUE
1967,Best Cinematography - Black and White,Bunny Lake Is Missing,,Denys Coop,FALSE
1967,Best Cinematography - Black and White,Cul-De-Sac,,Gilbert Taylor,FALSE
1967,Best Cinematography - Black and White,Georgy Girl,,Ken Higgins,FALSE
1967,British Actor,Richard Burton,,The Spy Who Came In From The Cold/Who's Afraid Of Virginia Woolf?,TRUE
1967,British Actor,Michael Caine,,Alfie,FALSE
1967,British Actor,Ralph Richardson,,The Wrong Box/Dr Zhivago/Khartoum,FALSE
1967,British Actor,David Warner,,Morgan - A Suitable Case For Treatment,FALSE
1967,British Actress,Elizabeth Taylor,,Who's Afraid Of Virginia Woolf?,TRUE
1967,British Actress,Julie Christie,,Dr Zhivago/Fahrenheit 451,FALSE
1967,British Actress,Lynn Redgrave,,Georgy Girl,FALSE
1967,British Actress,Vanessa Redgrave,,Morgan - A Suitable Case For Treatment,FALSE
1967,British Art Direction - Black and White,The Spy Who Came In From The Cold,,Tambi Larsen,TRUE
1967,British Art Direction - Black and White,Bunny Lake Is Missing,,Don Ashton,FALSE
1967,British Art Direction - Black and White,Georgy Girl,,Tony Woollard,FALSE
1967,British Art Direction - Black and White,Life At The Top,,Edward Marshall,FALSE
1967,British Art Direction - Colour,The Blue Max,,Wilfrid Shingleton,TRUE
1967,British Art Direction - Colour,Khartoum,,John Howell,FALSE
1967,British Art Direction - Colour,The Quiller Memorandum,,Maurice Carter,FALSE
1967,British Art Direction - Colour,The Wrong Box,,Ray Simm,FALSE
1967,British Cinematography - Colour,Arabesque,,Christopher Challis,TRUE
1967,British Cinematography - Colour,Alfie,,Otto Heller,FALSE
1967,British Cinematography - Colour,The Blue Max,,Douglas Slocombe,FALSE
1967,British Cinematography - Colour,Modesty Blaise,,Jack Hildyard,FALSE
1967,British Costume Design - Black and White,Category not awarded this year,,,TRUE
1967,British Costume Design - Colour,The Wrong Box,,Julie Harris,TRUE
1967,British Costume Design - Colour,Arabesque,,Christian Dior,FALSE
1967,British Costume Design - Colour,The Blue Max,,John Furniss,FALSE
1967,British Costume Design - Colour,Romeo And Juliet,,Nicholas Georgidis,FALSE
1967,British Film,The Spy Who Came In From The Cold,,Martin Ritt,TRUE
1967,British Film,Alfie,,Lewis Gilbert,FALSE
1967,British Film,Georgy Girl,,Silvio Narizzano,FALSE
1967,British Film,Morgan - A Suitable Case For Treatment,,Karel Reisz,FALSE
1967,British Screenplay,Morgan - A Suitable Case For Treatment,,David Mercer,TRUE
1967,British Screenplay,Alfie,,Bill Naughton,FALSE
1967,British Screenplay,It Happened Here,,"Kevin Brownlow, Andrew Mollo",FALSE
1967,British Screenplay,The Quiller Memorandum,,Harold Pinter,FALSE
1967,Editing - for best film editing of a British Film,Morgan - A Suitable Case For Treatment,,Tom Priestley,TRUE
1967,Editing - for best film editing of a British Film,Alfie,,Thelma Connell,FALSE
1967,Editing - for best film editing of a British Film,Arabesque,,Freddie Wilson,FALSE
1967,Editing - for best film editing of a British Film,The Quiller Memorandum,,Freddie Wilson,FALSE
1967,Film,Who's Afraid Of Virginia Woolf?,,Mike Nichols,TRUE
1967,Film,Dr Zhivago,,David Lean,FALSE
1967,Film,Morgan - A Suitable Case For Treatment,,Karel Reisz,FALSE
1967,Film,The Spy Who Came In From The Cold,,Martin Ritt,FALSE
1967,Foreign Actor,Rod Steiger,,The Pawnbroker,TRUE
1967,Foreign Actor,Jean-Paul Belmondo,,Pierrot Le Fou,FALSE
1967,Foreign Actor,Sidney Poitier,,A Patch Of Blue,FALSE
1967,Foreign Actor,Oskar Werner,,The Spy Who Came In From The Cold,FALSE
1967,Foreign Actress,Jeanne Moreau,,Viva Maria,TRUE
1967,Foreign Actress,Brigitte Bardot,,Viva Maria,FALSE
1967,Foreign Actress,Joan Hackett,,The Group,FALSE
1967,Foreign Actress,Simone Signoret,,The Sleeping Car Murder,FALSE
1967,Most Promising Newcomer To Leading Film Roles,Vivien Merchant,,Alfie,TRUE
1967,Most Promising Newcomer To Leading Film Roles,Alan Arkin,,"The Russians Are Coming, The Russians Are Coming",FALSE
1967,Most Promising Newcomer To Leading Film Roles,Frank Finlay,,Othello,FALSE
1967,Most Promising Newcomer To Leading Film Roles,Jeremy Kemp,,The Blue Max,FALSE
1967,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Goal! The World Cup,,"Abidine Dino, Ross Devenish",TRUE
1967,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Buster Keaton Rides Again,,John Spotton,FALSE
1967,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",I'm Going To Ask You To Get Up Out Of Your Seat,,Richard Cawston,FALSE
1967,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Matador,,Kevin Billington,FALSE
1967,Short Film,The War Game,,Peter Watkins,TRUE
1967,Short Film,A River Must Live,,Alan Pendry,FALSE
1967,Short Film,Sudden Summer,,Richard Taylor,FALSE
1967,Short Film,The Tortoise And The Hare,,Hugh Hudson,FALSE
1967,Specialised Film,Exploring Chemistry,,Robert Parker,TRUE
1967,Specialised Film,The Radio Sky,,Michael Crosfield,FALSE
1967,Specialised Film,Visual Aids,,Richard Need,FALSE
1967,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The War Game,,Peter Watkins,TRUE
1967,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Pawnbroker,,Sidney Lumet,FALSE
1967,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,"The Russians Are Coming, The Russians Are Coming",,Norman Jewison,FALSE
1967,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Vietnam - People And War,,Jo Menell,FALSE
1968,Animated Film,Notes On A Triangle,,René Jodoin,TRUE
1968,Animated Film,Tidy Why,,Bill Sewell,FALSE
1968,Animated Film,Toys,,Grant Munro,FALSE
1968,British Actor,Paul Scofield,,A Man For All Seasons,TRUE
1968,British Actor,Dirk Bogarde,,Accident/Our Mother's House,FALSE
1968,British Actor,Richard Burton,,The Taming Of The Shrew,FALSE
1968,British Actor,James Mason,,The Deadly Affair,FALSE
1968,British Actress,Edith Evans,,The Whisperers,TRUE
1968,British Actress,Barbara Jefford,,Ulysses,FALSE
1968,British Actress,Elizabeth Taylor,,The Taming Of The Shrew,FALSE
1968,British Art Direction - Black and White,Category not awarded this year,,,TRUE
1968,British Art Direction - Colour,A Man For All Seasons,,John Box,TRUE
1968,British Art Direction - Colour,Accident,,Carmen Dillon,FALSE
1968,British Art Direction - Colour,Blow-Up,,Assheton Gorton,FALSE
1968,British Art Direction - Colour,You Only Live Twice,,Ken Adam,FALSE
1968,British Cinematography - Black and White,The Whisperers,,Gerry Turpin,TRUE
1968,British Cinematography - Black and White,Mademoiselle,,David Watkin,FALSE
1968,British Cinematography - Black and White,The Sailor From Gibraltar,,Raoul Coutard,FALSE
1968,British Cinematography - Black and White,Ulysses,,Wolfgang Suschitzky,FALSE
1968,British Cinematography - Colour,A Man For All Seasons,,Ted Moore,TRUE
1968,British Cinematography - Colour,Blow-Up,,Carlo Di Palma,FALSE
1968,British Cinematography - Colour,The Deadly Affair,,Freddie Young,FALSE
1968,British Cinematography - Colour,Far From The Madding Crowd,,Nicolas Roeg,FALSE
1968,British Costume Design - Black and White,Mademoiselle,,Jocelyn Rickards,TRUE
1968,British Costume Design - Black and White,The Sailor From Gibraltar,,Jocelyn Rickards,FALSE
1968,British Costume Design - Colour,A Man For All Seasons,,"Elizabeth Haffenden, Joan Bridge",TRUE
1968,British Costume Design - Colour,Casino Royale,,Julie Harris,FALSE
1968,British Costume Design - Colour,Far From The Madding Crowd,,Alan Barrett,FALSE
1968,British Costume Design - Colour,Half A Sixpence,,"Elizabeth Haffenden, Joan Bridge",FALSE
1968,British Film,A Man For All Seasons,,Fred Zinnemann,TRUE
1968,British Film,Accident,,Joseph Losey,FALSE
1968,British Film,Blow-Up,,Michelangelo Antonioni,FALSE
1968,British Film,The Deadly Affair,,Sidney Lumet,FALSE
1968,British Screenplay,A Man For All Seasons,,Robert Bolt,TRUE
1968,British Screenplay,Accident,,Harold Pinter,FALSE
1968,British Screenplay,The Deadly Affair,,Paul Dehn,FALSE
1968,British Screenplay,Two For The Road,,Frederic Raphael,FALSE
1968,Editing,Category not awarded this year,,,TRUE
1968,Film,A Man For All Seasons,,Fred Zinnemann,TRUE
1968,Film,Bonnie And Clyde,,Arthur Penn,FALSE
1968,Film,In The Heat Of The Night,,Norman Jewison,FALSE
1968,Film,A Man And A Woman (Un Homme Et Une Femme),,Claude Lelouch,FALSE
1968,Foreign Actor,Rod Steiger,,In The Heat Of The Night,TRUE
1968,Foreign Actor,Warren Beatty,,Bonnie And Clyde,FALSE
1968,Foreign Actor,Sidney Poitier,,In The Heat Of The Night,FALSE
1968,Foreign Actor,Orson Welles,,Chimes At Midnight,FALSE
1968,Foreign Actress,Anouk Aimée,,A  Man And A Woman (Un Homme Et Une Femme),TRUE
1968,Foreign Actress,Bibi Andersson,,"My Sister, My Love (Syskonbädd 1782)/ Persona",FALSE
1968,Foreign Actress,Jane Fonda,,Barefoot In The Park,FALSE
1968,Foreign Actress,Simone Signoret,,The Deadly Affair,FALSE
1968,Most Promising Newcomer To Leading Film Roles,Faye Dunaway,,Bonnie And Clyde/Hurry Sundown,TRUE
1968,Most Promising Newcomer To Leading Film Roles,Peter Kastner,,You're A Big Boy Now,FALSE
1968,Most Promising Newcomer To Leading Film Roles,Milo O'Shea,,Ulysses,FALSE
1968,Most Promising Newcomer To Leading Film Roles,Michael J Pollard,,Bonnie And Clyde,FALSE
1968,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",To Die In Madrid,,Frederic Rossif,TRUE
1968,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Famine,,Jack Gold,FALSE
1968,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",The Things I Cannot Change,,Tanya Ballantyne,FALSE
1968,Short Film,Indus Waters,,Derek Williams,TRUE
1968,Short Film,Mafia No!,,John Irvin,FALSE
1968,Short Film,Opus,,Don Levy,FALSE
1968,Short Film,Rail,,Geoffrey Jones,FALSE
1968,Specialised Film,Energy And Matter,,Robert Verrall,TRUE
1968,Specialised Film,How The Motor Car Works,,Derek Armstrong,FALSE
1968,Specialised Film,Paint,,Michael Heckford,FALSE
1968,Specialised Film,Revolutions For All,,Jeff Inman,FALSE
1968,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,In The Heat Of The Night,,Norman Jewison,TRUE
1968,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Gospel According To St Matthew,,Pier Paolo Pasolini,FALSE
1969,Actor,Spencer Tracy,,Guess Who's Coming To Dinner?,TRUE
1969,Actor,Trevor Howard,,The Charge Of The Light Brigade,FALSE
1969,Actor,Ron Moody,,Oliver!,FALSE
1969,Actor,Nicol Williamson,,The Bofors Gun,FALSE
1969,Actress,Katharine Hepburn,,The Lion In Winter/Guess Who's Coming To Dinner?,TRUE
1969,Actress,Anne Bancroft,,The Graduate,FALSE
1969,Actress,Catherine Deneuve,,Beauty Of The Day (Belle De Jour),FALSE
1969,Actress,Joanne Woodward,,"Rachel, Rachel",FALSE
1969,Animated Film,Dance For Two (Pas De Deux),,Norman McLaren,TRUE
1969,Animated Film,The Hand,,Jiri Trinka,FALSE
1969,Animated Film,The House That Jack Built,,Ron Tunis,FALSE
1969,Animated Film,The Question,,John Halas,FALSE
1969,Anthony Asquith Award for Original Film Music,The Lion In Winter,,John Barry,TRUE
1969,Anthony Asquith Award for Original Film Music,The Charge Of The Light Brigade,,John Addison,FALSE
1969,Anthony Asquith Award for Original Film Music,Romeo And Juliet,,Nino Rota,FALSE
1969,Anthony Asquith Award for Original Film Music,Live For Life (Vivre Pour Vivre),,Francis Lai,FALSE
1969,Art Direction,2001: A Space Odyssey,,"Tony Masters, Harry Lange, Ernest Archer",TRUE
1969,Art Direction,The Charge Of The Light Brigade,,Edward Marshall,FALSE
1969,Art Direction,Oliver!,,John Box,FALSE
1969,Art Direction,Romeo And Juliet,,Renzo Mongiardino,FALSE
1969,British Cinematography,2001: A Space Odyssey,,Geoffrey Unsworth,TRUE
1969,British Cinematography,The Charge Of The Light Brigade,,David Watkin,FALSE
1969,British Cinematography,Elvira Madigan,,Jörgen Persson,FALSE
1969,British Cinematography,The Lion In Winter,,Douglas Slocombe,FALSE
1969,Costume Design,Romeo And Juliet,,Danilo Donati,TRUE
1969,Costume Design,The Charge Of The Light Brigade,,David Walker,FALSE
1969,Costume Design,The Lion In Winter,,Margaret Furse,FALSE
1969,Costume Design,Oliver!,,Phyllis Dalton,FALSE
1969,Direction,The Graduate,,Mike Nichols,TRUE
1969,Direction,If...,,Lindsay Anderson,FALSE
1969,Direction,Oliver!,,Carol Reed,FALSE
1969,Direction,Romeo And Juliet,,Franco Zeffirelli,FALSE
1969,Editing,The Graduate,,Sam O'Steen,TRUE
1969,Editing,The Charge Of The Light Brigade,,Kevin Brownlow,FALSE
1969,Editing,Oliver!,,Ralph Kemplen,FALSE
1969,Editing,Romeo And Juliet,,Reginald Mills,FALSE
1969,Film,The Graduate,,Mike Nichols,TRUE
1969,Film,Closely Observed Trains,,Jiri Menzel,FALSE
1969,Film,Oliver!,,Carol Reed,FALSE
1969,Film,2001: A Space Odyssey,,Stanley Kubrick,FALSE
1969,Most Promising Newcomer To Leading Film Roles,Dustin Hoffman,,The Graduate,TRUE
1969,Most Promising Newcomer To Leading Film Roles,Pia Degermark,,Elvira Madigan,FALSE
1969,Most Promising Newcomer To Leading Film Roles,Katharine Ross,,The Graduate,FALSE
1969,Most Promising Newcomer To Leading Film Roles,Jack Wild,,Oliver!,FALSE
1969,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",In Need Of Special Care,,"Jonathan Stedall - Camphill Rudolph Steiner School, Aberdeen",TRUE
1969,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Inside North Vietnam,,Felix Greene,FALSE
1969,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",Music!,,Michael Tuchner,FALSE
1969,"Robert Flaherty Award (Feature Length Film, Documentary In Content)",A Plague On Your Children,,Adrian Malone,FALSE
1969,Screenplay,The Graduate,,"Calder Willingham, Buck Henry",TRUE
1969,Screenplay,Guess Who's Coming To Dinner?,,William Rose,FALSE
1969,Screenplay,If...,,David Sherwin,FALSE
1969,Screenplay,The Lion In Winter,,James Goldman,FALSE
1969,Short Film,Category not awarded this year,,,TRUE
1969,Soundtrack,2001: A Space Odyssey,,Winston Ryder,TRUE
1969,Soundtrack,The Charge Of The Light Brigade,,Simon Kaye,FALSE
1969,Soundtrack,Closely Observed Trains,,Jiri Pavlik,FALSE
1969,Soundtrack,The Lion In Winter,,"Chris Greenham, Simon Kaye",FALSE
1969,Soundtrack,Oliver!,,"John Cox, Bob Jones",FALSE
1969,Specialised Film,The Threat In The Water,,Richard Bigham,TRUE
1969,Specialised Film,Carbon,,Peter De Normanville,FALSE
1969,Specialised Film,Genetics And Plant Breeding,,David Morphet,FALSE
1969,Specialised Film,The Kurer Anchor System,,Eric Harrison,FALSE
1969,Supporting Actor,The Bofors Gun,,Ian Holm,TRUE
1969,Supporting Actor,The Lion In Winter,,Anthony Hopkins,FALSE
1969,Supporting Actor,Romeo And Juliet,,John McEnery,FALSE
1969,Supporting Actor,No Way To Treat A Lady,,George Segal,FALSE
1969,Supporting Actress,Twisted Nerve/Charlie Bubbles,,Billie Whitelaw,TRUE
1969,Supporting Actress,Romeo And Juliet,,Pat Heywood,FALSE
1969,Supporting Actress,Interlude,,Virginia Maskell,FALSE
1969,Supporting Actress,Games,,Simone Signoret,FALSE
1969,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Guess Who's Coming To Dinner?,,Stanley Kramer,TRUE
