Year,CanonicalCategory,Category,Film,FilmId,Nominees,Winner,Detail
2021,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Eyes of Tammy Faye,tt9115530,Jessica Chastain,TRUE,Tammy Faye Bakker
2021,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Lost Daughter,tt9100054,Olivia Colman,,Leda
2021,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Parallel Mothers,tt12618926,Penélope Cruz,,Janis
2021,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Being the Ricardos,tt4995540,Nicole Kidman,,Lucille Ball
2021,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Spencer,tt12536294,Kristen Stewart,,Diana
2021,ACTRESS IN A SUPPORTING ROLE,Actress in a Supporting Role,The Lost Daughter,tt9100054,Jessie Buckley,,Young Leda
2021,ACTRESS IN A SUPPORTING ROLE,Actress in a Supporting Role,West Side Story,tt3581652,Ariana DeBose,TRUE,Anita
2021,ACTRESS IN A SUPPORTING ROLE,Actress in a Supporting Role,Belfast,tt12789558,Judi Dench,,Granny
2021,ACTRESS IN A SUPPORTING ROLE,Actress in a Supporting Role,The Power of the Dog,tt10293406,Kirsten Dunst,,Rose Gordon
2021,ACTRESS IN A SUPPORTING ROLE,Actress in a Supporting Role,King Richard,tt9620288,Aunjanue Ellis,,Oracene 'Brandy' Williams
2021,ANIMATED FEATURE FILM,Animated Feature Film,Encanto,tt2953050,"Jared Bush, Byron Howard, Yvett Merino, Clark Spencer",TRUE,
2021,ANIMATED FEATURE FILM,Animated Feature Film,Flee,tt8430054,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen, Charlotte De La Gournerie",,
2021,ANIMATED FEATURE FILM,Animated Feature Film,Luca,tt12801262,"Enrico Casarosa, Andrea Warren",,
2021,ANIMATED FEATURE FILM,Animated Feature Film,The Mitchells vs. the Machines,tt7979580,"Mike Rianda, Phil Lord, Christopher Miller, Kurt Albrecht",,
2021,ANIMATED FEATURE FILM,Animated Feature Film,Raya and the Last Dragon,tt5109280,"Don Hall, Carlos López Estrada, Osnat Shurer, Peter Del Vecho",,
2021,CINEMATOGRAPHY,Cinematography,Dune,tt1160419,Greig Fraser,TRUE,
2021,CINEMATOGRAPHY,Cinematography,Nightmare Alley,tt7740496,Dan Laustsen,,
2021,CINEMATOGRAPHY,Cinematography,The Power of the Dog,tt10293406,Ari Wegner,,
2021,CINEMATOGRAPHY,Cinematography,The Tragedy of Macbeth,tt10095582,Bruno Delbonnel,,
2021,CINEMATOGRAPHY,Cinematography,West Side Story,tt3581652,Janusz Kaminski,,
2021,COSTUME DESIGN,Costume Design,Cruella,tt3228774,Jenny Beavan,TRUE,
2021,COSTUME DESIGN,Costume Design,Cyrano,tt12889404,"Massimo Cantini Parrini, Jacqueline Durran",,
2021,COSTUME DESIGN,Costume Design,Dune,tt1160419,"Jacqueline West, Robert Morgan",,
2021,COSTUME DESIGN,Costume Design,Nightmare Alley,tt7740496,Luis Sequeira,,
2021,COSTUME DESIGN,Costume Design,West Side Story,tt3581652,Paul Tazewell,,
2021,DIRECTING,Directing,Belfast,tt12789558,Kenneth Branagh,,
2021,DIRECTING,Directing,Drive My Car,tt14039582,Ryusuke Hamaguchi,,
2021,DIRECTING,Directing,Licorice Pizza,tt11271038,Paul Thomas Anderson,,
2021,DIRECTING,Directing,The Power of the Dog,tt10293406,Jane Campion,TRUE,
2021,DIRECTING,Directing,West Side Story,tt3581652,Steven Spielberg,,
2021,DOCUMENTARY (Feature),Documentary (Feature),Ascension,tt14505430,"Jessica Kingdon, Kira Simon-Kennedy, Nathan Truesdell",,
2021,DOCUMENTARY (Feature),Documentary (Feature),Attica,tt12482898,"Stanley Nelson, Traci A. Curry",,
2021,DOCUMENTARY (Feature),Documentary (Feature),Flee,tt8430054,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen, Charlotte De La Gournerie",,
2021,DOCUMENTARY (Feature),Documentary (Feature),"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",tt11422728,"Ahmir \""Questlove\"" Thompson, Joseph Patel, Robert Fyvolent, David Dinerstein",TRUE,
2021,DOCUMENTARY (Feature),Documentary (Feature),Writing with Fire,tt13630174,"Rintu Thomas, Sushmit Ghosh",,
2021,DOCUMENTARY (Short Subject),Documentary (Short Subject),Audible,tt12771540,"Matt Ogens, Geoff McLean",,
2021,DOCUMENTARY (Short Subject),Documentary (Short Subject),Lead Me Home,tt15339848,"Pedro Kos, Jon Shenk",,
2021,DOCUMENTARY (Short Subject),Documentary (Short Subject),The Queen of Basketball,tt14513236,Ben Proudfoot,TRUE,
2021,DOCUMENTARY (Short Subject),Documentary (Short Subject),Three Songs for Benazir,tt14608922,"Elizabeth Mirzaei, Gulistan Mirzaei",,
2021,DOCUMENTARY (Short Subject),Documentary (Short Subject),When We Were Bullies,tt13796488,Jay Rosenblatt,,
2021,FILM EDITING,Film Editing,Don't Look Up,tt11286314,Hank Corwin,,
2021,FILM EDITING,Film Editing,Dune,tt1160419,Joe Walker,TRUE,
2021,FILM EDITING,Film Editing,King Richard,tt9620288,Pamela Martin,,
2021,FILM EDITING,Film Editing,The Power of the Dog,tt10293406,Peter Sciberras,,
2021,FILM EDITING,Film Editing,"tick, tick...BOOM!",tt8721424,"Myron Kerstein, Andrew Weisblum",,
2021,INTERNATIONAL FEATURE FILM,International Feature Film,Drive My Car,tt14039582,,TRUE,
2021,INTERNATIONAL FEATURE FILM,International Feature Film,Flee,tt8430054,,,
2021,INTERNATIONAL FEATURE FILM,International Feature Film,The Hand of God,tt12680684,,,
2021,INTERNATIONAL FEATURE FILM,International Feature Film,Lunana: A Yak in the Classroom,tt10189300,,,
2021,INTERNATIONAL FEATURE FILM,International Feature Film,The Worst Person in the World,tt10370710,,,
2021,MAKEUP AND HAIRSTYLING,Makeup and Hairstyling,Coming 2 America,tt6802400,"Mike Marino, Stacey Morris, Carla Farmer",,
2021,MAKEUP AND HAIRSTYLING,Makeup and Hairstyling,Cruella,tt3228774,"Nadia Stacey, Naomi Donne, Julia Vernon",,
2021,MAKEUP AND HAIRSTYLING,Makeup and Hairstyling,Dune,tt1160419,"Donald Mowat, Love Larson, Eva von Bahr",,
2021,MAKEUP AND HAIRSTYLING,Makeup and Hairstyling,The Eyes of Tammy Faye,tt9115530,"Linda Dowds, Stephanie Ingram, Justin Raleigh",TRUE,
2021,MAKEUP AND HAIRSTYLING,Makeup and Hairstyling,House of Gucci,tt11214590,"Göran Lundström, Anna Carin Lock, Frederic Aspiras",,
2021,MUSIC (Original Score),Music (Original Score),Don't Look Up,tt11286314,Nicholas Britell,,
2021,MUSIC (Original Score),Music (Original Score),Dune,tt1160419,Hans Zimmer,TRUE,
2021,MUSIC (Original Score),Music (Original Score),Encanto,tt2953050,Germaine Franco,,
2021,MUSIC (Original Score),Music (Original Score),Parallel Mothers,tt12618926,Alberto Iglesias,,
2021,MUSIC (Original Score),Music (Original Score),The Power of the Dog,tt10293406,Jonny Greenwood,,
2021,MUSIC (Original Song),Music (Original Song),King Richard,tt9620288,"DIXSON, Beyoncé Knowles-Carter",,Be Alive
2021,MUSIC (Original Song),Music (Original Song),Encanto,tt2953050,Lin-Manuel Miranda,,Dos Oruguitas
2021,MUSIC (Original Song),Music (Original Song),Belfast,tt12789558,Van Morrison,,Down To Joy
2021,MUSIC (Original Song),Music (Original Song),No Time to Die,tt2382320,"Billie Eilish, Finneas O'Connell",TRUE,No Time To Die
2021,MUSIC (Original Song),Music (Original Song),Four Good Days,tt10344522,Diane Warren,,Somehow You Do
2021,BEST PICTURE,Best Picture,Belfast,tt12789558,"Laura Berwick, Kenneth Branagh, Becca Kovacik, Tamar Thomas",,
2021,BEST PICTURE,Best Picture,CODA,tt10366460,"Philippe Rousselet, Fabrice Gianfermi, Patrick Wachsberger",TRUE,
2021,BEST PICTURE,Best Picture,Don't Look Up,tt11286314,"Adam McKay, Kevin Messick",,
2021,BEST PICTURE,Best Picture,Drive My Car,tt14039582,Teruhisa Yamamoto,,
2021,BEST PICTURE,Best Picture,Dune,tt1160419,"Mary Parent, Denis Villeneuve, Cale Boyter",,
2021,BEST PICTURE,Best Picture,King Richard,tt9620288,"Tim White, Trevor White, Will Smith",,
2021,BEST PICTURE,Best Picture,Licorice Pizza,tt11271038,"Sara Murphy, Adam Somner, Paul Thomas Anderson",,
2021,BEST PICTURE,Best Picture,Nightmare Alley,tt7740496,"Guillermo del Toro, J. Miles Dale, Bradley Cooper",,
2021,BEST PICTURE,Best Picture,The Power of the Dog,tt10293406,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning, Roger Frappier",,
2021,BEST PICTURE,Best Picture,West Side Story,tt3581652,"Steven Spielberg, Kristie Macosko Krieger",,
2021,ART DIRECTION,Art Direction,Dune,tt1160419,"Patrice Vermette, Zsuzsanna Sipos",TRUE,
2021,ART DIRECTION,Art Direction,Nightmare Alley,tt7740496,"Tamara Deverell, Shane Vieau",,
2021,ART DIRECTION,Art Direction,The Power of the Dog,tt10293406,"Grant Major, Amber Richards",,
2021,ART DIRECTION,Art Direction,The Tragedy of Macbeth,tt10095582,"Stefan Dechant, Nancy Haigh",,
2021,ART DIRECTION,Art Direction,West Side Story,tt3581652,"Adam Stockhausen, Rena DeAngelo",,
2021,SHORT FILM (Animated),Short Film (Animated),Affairs of the Art,tt14293560,"Joanna Quinn, Les Mills",,
2021,SHORT FILM (Animated),Short Film (Animated),Bestia,tt14825950,"Hugo Covarrubias, Tevo Díaz",,
2021,SHORT FILM (Animated),Short Film (Animated),Boxballet,tt14825972,Anton Dyakov,,
2021,SHORT FILM (Animated),Short Film (Animated),Robin Robin,tt11332850,"Dan Ojari, Mikey Please",,
2021,SHORT FILM (Animated),Short Film (Animated),The Windshield Wiper,tt9464038,"Alberto Mielgo, Leo Sanchez",TRUE,
2021,SHORT FILM (Live Action),Short Film (Live Action),Ala Kachuu - Take and Run,tt7914938,"Maria Brendle, Nadine Lüchinger",,
2021,SHORT FILM (Live Action),Short Film (Live Action),The Dress,tt12299764,"Tadeusz Lysiak, Maciej Slesicki",,
2021,SHORT FILM (Live Action),Short Film (Live Action),The Long Goodbye,tt11924384,"Aneil Karia, Riz Ahmed",TRUE,
2021,SHORT FILM (Live Action),Short Film (Live Action),On My Mind,tt15289736,"Martin Strange-Hansen, Kim Magnusson",,
2021,SHORT FILM (Live Action),Short Film (Live Action),Please Hold,tt11383280,"K.D. Dávila, Levin Menekse",,
2021,SOUND MIXING,Sound Mixing,Belfast,tt12789558,"Denise Yarde, Simon Chase, James Mather, Niv Adiri",,
2021,SOUND MIXING,Sound Mixing,Dune,tt1160419,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill, Ron Bartlett",TRUE,
2021,SOUND MIXING,Sound Mixing,No Time to Die,tt2382320,"Simon Hayes, Oliver Tarney, James Harrison, Paul Massey, Mark Taylor",,
2021,SOUND MIXING,Sound Mixing,The Power of the Dog,tt10293406,"Richard Flynn, Robert Mackenzie, Tara Webb",,
2021,SOUND MIXING,Sound Mixing,West Side Story,tt3581652,"Tod A. Maitland, Gary Rydstrom, Brian Chumney, Andy Nelson, Shawn Murphy",,
2021,VISUAL EFFECTS,Visual Effects,Dune,tt1160419,"Paul Lambert, Tristan Myles, Brian Connor, Gerd Nefzer",TRUE,
2021,VISUAL EFFECTS,Visual Effects,Free Guy,tt6264654,"Swen Gillberg, Bryan Grill, Nikos Kalaitzidis, Dan Sudick",,
2021,VISUAL EFFECTS,Visual Effects,No Time to Die,tt2382320,"Charlie Noble, Joel Green, Jonathan Fawkner, Chris Corbould",,
2021,VISUAL EFFECTS,Visual Effects,Shang-Chi and the Legend of the Ten Rings,tt9376612,"Christopher Townsend, Joe Farrell, Sean Noel Walker, Dan Oliver",,
2021,VISUAL EFFECTS,Visual Effects,Spider-Man: No Way Home,tt10872600,"Kelly Port, Chris Waegner, Scott Edelstein, Dan Sudick",,
2021,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),CODA,tt10366460,Siân Heder,TRUE,
2021,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Drive My Car,tt14039582,"Ryusuke Hamaguchi, Takamasa Oe",,
2021,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Dune,tt1160419,"Jon Spaihts, Denis Villeneuve, Eric Roth",,
2021,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Lost Daughter,tt9100054,Maggie Gyllenhaal,,
2021,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Power of the Dog,tt10293406,Jane Campion,,
2021,WRITING (Original Screenplay),Writing (Original Screenplay),Belfast,tt12789558,Kenneth Branagh,TRUE,
2021,WRITING (Original Screenplay),Writing (Original Screenplay),Don't Look Up,tt11286314,"Adam McKay, David Sirota",,
2021,WRITING (Original Screenplay),Writing (Original Screenplay),King Richard,tt9620288,Zach Baylin,,
2021,WRITING (Original Screenplay),Writing (Original Screenplay),Licorice Pizza,tt11271038,Paul Thomas Anderson,,
2021,WRITING (Original Screenplay),Writing (Original Screenplay),The Worst Person in the World,tt10370710,"Eskil Vogt, Joachim Trier",,
2021,JEAN HERSHOLT HUMANITARIAN AWARD,Jean Hersholt Humanitarian Award,,,Danny Glover,TRUE,
2021,HONORARY AWARD,Honorary Award,,,Samuel L. Jackson,TRUE,
2021,HONORARY AWARD,Honorary Award,,,Elaine May,TRUE,
2021,HONORARY AWARD,Honorary Award,,,Liv Ullmann,TRUE,
2022,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Elvis,tt3704428,Austin Butler,,Elvis
2022,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Banshees of Inisherin,tt11813216,Colin Farrell,,Pádraic Súilleabháin
2022,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Whale,tt13833688,Brendan Fraser,TRUE,Charlie
2022,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Aftersun,tt19770238,Paul Mescal,,Calum
2022,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Living,tt9051908,Bill Nighy,,Williams
2022,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,The Banshees of Inisherin,tt11813216,Brendan Gleeson,,Colm Doherty
2022,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,Causeway,tt10192406,Brian Tyree Henry,,James
2022,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,The Fabelmans,tt14208870,Judd Hirsch,,Uncle Boris
2022,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,The Banshees of Inisherin,tt11813216,Barry Keoghan,,Dominic Kearney
2022,ACTOR IN A SUPPORTING ROLE,Actor in a Supporting Role,Everything Everywhere All at Once,tt6710474,Ke Huy Quan,TRUE,Waymond Wang
2022,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Tár,tt14444726,Cate Blanchett,,Lydia Tár
2022,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Blonde,tt1655389,Ana de Armas,,Norma Jeane
2022,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,To Leslie,tt8129806,Andrea Riseborough,,Leslie
2022,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Fabelmans,tt14208870,Michelle Williams,,Mitzi Fabelman
2022,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Everything Everywhere All at Once,tt6710474,Michelle Yeoh,TRUE,Evelyn Wang
